1479246689.43625, 1479246692.92260, DoS
1479246719.28941, 1479246722.81242, Fuzzy
1479246748.90351, 1479246755.08499, Replay
1479246779.29343, 1479246782.75008, DoS
1479246809.49485, 1479246812.71972, Fuzzy
1479246841.85756, 1479246848.66088, Replay
1479246869.37992, 1479246872.88905, DoS
1479246899.34165, 1479246902.91397, Fuzzy
1479246925.83007, 1479246935.77888, Replay
1479246959.48647, 1479246962.74539, DoS
1479246989.34744, 1479246992.92711, Fuzzy
1479247016.32607, 1479247023.72336, Replay
1479247049.28685, 1479247053.07396, DoS
1479247079.41421, 1479247082.72012, Fuzzy
1479247111.82587, 1479247119.39588, Replay
1479247139.29051, 1479247142.82626, DoS
1479247169.39301, 1479247172.94746, Fuzzy
1479247205.54192, 1479247226.58453, Replay
1479247235.09898, 1479247237.85495, DoS
1479247259.56948, 1479247262.95860, Fuzzy
